model,corruption_type,negative_samples,threshold,accuracy,false_positives
Base,dangling_reference,306,0.19132769107818604,0.02941176470588236,297
Base,entity_context_swap,453,0.19132769107818604,0.8454746136865342,70
Base,operand_reversal,453,0.19132769107818604,0.7328918322295805,121
Base,operator_substitution,454,0.19132769107818604,0.724669603524229,125
Base,unit_scale_mismatch,103,0.19132769107818604,0.4368932038834952,58
LoRA,dangling_reference,306,0.37937837839126587,0.9967320261437909,1
LoRA,entity_context_swap,453,0.37937837839126587,0.9271523178807947,33
LoRA,operand_reversal,453,0.37937837839126587,0.9072847682119205,42
LoRA,operator_substitution,454,0.37937837839126587,0.920704845814978,36
LoRA,unit_scale_mismatch,103,0.37937837839126587,0.9514563106796117,5
